"","Compartment","Day","Treatment","Stage","Block","Order"
"BS-NK-1","BS",0,"-P","D0",1,1
"BS-NK-2","BS",0,"-P","D0",1,2
"BS-NK-3","BS",0,"-P","D0",1,3
"BS-NK-4","BS",0,"-P","D0",2,4
"BS-NK-5","BS",0,"-P","D0",2,5
"BS-NK-6","BS",0,"-P","D0",2,6
"BS-NK-7","BS",0,"-P","D0",3,7
"BS-NK-8","BS",0,"-P","D0",3,8
"BS-NK-9","BS",0,"-P","D0",3,9
"BS-NP-1","BS",0,"-K","D0",1,1
"BS-NP-2","BS",0,"-K","D0",1,2
"BS-NP-3","BS",0,"-K","D0",1,3
"BS-NP-4","BS",0,"-K","D0",2,4
"BS-NP-5","BS",0,"-K","D0",2,5
"BS-NP-6","BS",0,"-K","D0",2,6
"BS-NP-7","BS",0,"-K","D0",3,7
"BS-NP-8","BS",0,"-K","D0",3,8
"BS-NP-9","BS",0,"-K","D0",3,9
"BS-NPK-1","BS",0,"Ctrl","D0",1,1
"BS-NPK-2","BS",0,"Ctrl","D0",1,2
"BS-NPK-3","BS",0,"Ctrl","D0",1,3
"BS-NPK-4","BS",0,"Ctrl","D0",2,4
"BS-NPK-5","BS",0,"Ctrl","D0",2,5
"BS-NPK-6","BS",0,"Ctrl","D0",2,6
"BS-NPK-7","BS",0,"Ctrl","D0",3,7
"BS-NPK-8","BS",0,"Ctrl","D0",3,8
"BS-NPK-9","BS",0,"Ctrl","D0",3,9
"BS-PK-1","BS",0,"-N","D0",1,1
"BS-PK-2","BS",0,"-N","D0",1,2
"BS-PK-3","BS",0,"-N","D0",1,3
"BS-PK-4","BS",0,"-N","D0",2,4
"BS-PK-5","BS",0,"-N","D0",2,5
"BS-PK-6","BS",0,"-N","D0",2,6
"BS-PK-7","BS",0,"-N","D0",3,7
"BS-PK-8","BS",0,"-N","D0",3,8
"BS-PK-9","BS",0,"-N","D0",3,9
"R-1NK-1","R",1,"-P","D1",1,1
"R-1NK-2","R",1,"-P","D1",1,2
"R-1NK-3","R",1,"-P","D1",1,3
"R-1NK-4","R",1,"-P","D1",2,4
